Timestamp,Machine_ID,Temperature_C,Pressure_psi,Vibration_mm_s,Status,Power_Consumption_kW,Oil_Level,Error_Code,Production_Rate_units_min,Motor_Speed_RPM,Ambient_Temperature_C,Ambient_Humidity_percent,Part_Count,Voltage_V
2024-01-01 00:00:00,3,27.872710405548844,124.98351218645267,0.4618541963794831,Normal,39.69391652887374,25.305067076904997,81,81,2464,19.670803246619585,30.075373798033223,4321,203.0184610662248
2024-01-01 00:00:01,4,,137.3373386256297,0.3037686479401003,Normal,83.5064577176672,20.862467008172544,2,80,1679,18.32513025610465,68.3993758012007,4767,233.47339919267762
2024-01-01 00:00:02,1,37.090947864043606,128.13333903281665,3.02095975371832,Normal,99.49391348544616,64.0646618545247,27,150,2756,22.37780450689965,51.41266407787138,4108,238.01274317919143
2024-01-01 00:00:03,3,26.80008772119784,104.16512915558982,4.830581612463774,Normal,85.66853840443412,35.70224421368571,49,181,2101,16.225028664416286,58.0160216371444,2605,222.44454436863964
2024-01-01 00:00:04,3,37.39299369624342,109.27901183917777,2.51360654477362,Normal,41.1528633790863,72.66069502232334,75,172,2096,22.502511299527335,66.50388632154605,1182,222.06853992734588
2024-01-01 00:00:05,4,21.76268861953383,110.96640920154596,0.25757612969652566,Normal,74.01271540715761,52.15104065961044,96,158,984,16.61167025312994,47.326183964135055,2443,226.76055583646865
2024-01-01 00:00:06,1,35.535968744172614,,1.106093280387281,Warning,58.0531102291966,48.711256877326726,15,62,635,18.059819914089037,47.62613127792426,3678,214.11325932987214
2024-01-01 00:00:07,1,36.95095266109473,128.2701695975252,1.2239645320788535,Warning,80.78660054950677,66.3691263478836,48,125,1402,18.33331787371367,36.67926283690145,3697,206.6321360993676
2024-01-01 00:00:08,3,23.636353056746774,125.19828899126968,1.68928564568475,Normal,23.778765518161755,64.46576021311026,41,136,1717,24.904121754603995,66.23313122340463,1460,202.6566027754011
2024-01-01 00:00:09,2,28.60693064744401,110.15800191821045,0.21801691793106315,Normal,67.43211333813136,62.256591943398654,2,107,2057,20.898219847365176,55.90693224127843,2766,235.2440474147913
2024-01-01 00:00:10,3,,103.37774217278435,4.524463502489581,Normal,79.63000960075611,61.39405736003238,32,180,1310,22.775541923222566,37.21076989166204,2832,221.89310177473183
2024-01-01 00:00:11,3,34.132082579884354,108.5716102237359,2.577819723607476,Normal,78.51082018659761,50.92375983069107,87,163,1933,20.553779838294794,52.39168058271543,4250,227.76282461352284
