Temperature_C Pressure_psi
27.49080237694725 48.92720825502112
39.01428612819832 69.32297186022379
34.6398788362281 61.24778183346411
31.973169683940732 56.761525546955276
23.12037280884873 40.90271093162739
23.119890406724053 41.24037323033732
21.161672243363988 37.936457614925295
37.3235229154987 66.80464872940023
32.022300234864176 56.60451316446038
34.161451555920905 60.6726656908999
20.411689885916047 35.751332954237384
39.39819704323989 70.68121430624907
36.648852816008436 64.60516620318029
24.246782213565524 42.98662134347651
23.636499344142013 41.564161776930476
23.668090197068675 42.24163458764562
26.084844859190753 46.37967874242629
30.495128632644757 53.94269063376362
28.638900372842315 50.90444352536612
25.824582803960837 45.43089750576406
32.23705789444759 57.68506636739627
22.789877213040835 
25.842892970704362 46.039763405435714
27.327236865873836 49.07157040859233
29.12139968434072 51.03863279387697
35.70351922786027 63.19297492793856
23.993475643167194 42.170439674578994
30.284688768272233 54.39412614222637
31.848291377240848 56.32790247871258
20.929008254399953 36.869015145958
32.150897038028766 57.37153625322694
23.41048247374583 
21.30103185970559 38.16688546874139
38.977710745066666 69.69863744696761
39.31264066149119 70.73296344224573
36.167946962329225 63.47762556833408
26.092275383467413 45.78620687995555
21.95344228012768 39.434508526326205
 60.5778317039753
28.803049874792027 51.0109527482247
22.440764696895577 39.80284159857262
29.903538202225405 52.902461017827896
20.687770422304368 37.02802861563734
38.186408041575646 68.3178926896373
25.17559963200034 44.35475921345773
33.25044568707964 58.84651249811977
 46.20854320536607
30.401360423556216 53.29325261306335
30.934205586865595 54.241663422374266
23.69708911051054 41.663869976418695
39.39169255529117 69.01431716889142
35.502656467222295 62.9008410163327
38.78997883128378 68.02662872734992
37.89654700855297 
31.957999576221702 
38.437484700462335 68.7916612155833
21.76985004103839 38.78936005063255
23.919657248382904 42.67338609630044
20.90454577821076 36.72149437401011
26.506606615265287 46.48365292558481
27.77354579378964 49.99740431138037
25.426980635477918 44.991364921913316
36.57475018303859 64.11957222759419
27.135066533871786 47.72296666510197
25.618690193747614 45.97250846908434
30.853921663164968 54.33184772289053
22.818484499495252 40.48520748731271
36.043939615080795 64.29981428912848
21.491012873595416 38.667146363191215
 69.58904298283228
35.44489538593315 62.91268269099705
23.974313630683447 43.16900784001507
20.110442342472048 35.335668285720224
36.30922856909668 63.78575338346828
34.13714687695234 59.908575850363626
34.58014336081975 61.41331686214089
35.42540693371892 62.631592556535146
21.480893034681806 38.38085164923065
27.169314570885454 48.34238743759331
22.317381190502594 39.7235584635527
37.26206851751187 66.18077581349834
32.46596253655116 58.44585153993419
26.617960497052984 47.318850171227545
21.27116700572047 37.32150456163288
26.219646434313244 46.32677273476274
26.503666440534943 47.4359569290855
34.59212356676128 61.643196232481095
 58.454515235712094
37.744254851526534 67.81209045256016
29.444298503238986 52.200862343852386
22.391884918766035 39.22765538315375
34.2648957444599 61.67983409020057
35.21570097233795 62.447890433228054
31.225543951389923 54.817100719268964
35.41934359909122 
29.875911927287817 53.18448877750142
30.45465658763988 54.17497804886824
28.550820367170992 51.36139556843718
20.508382534881903 36.23742972234743
22.157828539866088 38.834436741838466
20.628583713734685 37.06868080080735
32.72820822527561 57.60730917955432
26.287119621526536 47.007502613213674
30.171413823294056 53.127737219551996
38.15132947852186 68.36615236070645
24.9858445829775 44.87756468430733
28.207658460712594 49.531995603162684
35.11102277086097 61.72283784515352
24.57596330983245 44.164928916136276
21.53959819657586 38.54433000369205
25.79502905827536 45.21146814948276
 40.87431898388724
